trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-144.86299262840262,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-77.39027914638314,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,4,-123.45365892481276,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-45.14621404589885,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-262.4292383793333,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-208.26445771682714,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-107.30461588866491,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-76.17970322192772,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,11,-10.544871560246767,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-47.83754403430365,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-6.489537653526191,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-83.45909122319402,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,10.482957689406529,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-85.6153863273433,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,11.249356850198946,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-51.066149992626464,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,8,13.145946971314725,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,7,-4.49309391099923,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,10,8.22994368274581,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,32.66462513538337,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0}",30,19,20.706120165571214,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 0}",25,1,34.39998852831527,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0}",35,18,-77.048904831414,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 2}",1
4,True,"{'a': 0.5, 'e': 0}",20,0,28.964818375368107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 0}",25,14,21.279112716806353,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0}",30,0,34.354862392773285,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0}",30,10,-14.319976919010953,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 0}",20,3,10.526300361837379,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 0}",20,14,10.02365145177019,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0}",35,12,24.065164840766954,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
