trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-13.388411186657581,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.998001}",30,0,-105.5166166946272,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",25,0,-66.71032120077528,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",25,0,-122.96888261418633,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",25,0,-167.95036507570686,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",30,0,-172.35027858214065,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.993020965034979}",20,0,-99.54735479039012,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.992027944069944}",25,1,-63.87212046385973,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.991035916125874}",25,0,-179.22969545666092,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",25,0,-135.2844926119257,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295384}",20,0,-55.69426206598215,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9880657804942089}",25,0,-153.9396515069272,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",30,0,-111.98961009158087,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",30,0,-149.05736858966108,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.985104546362002}",20,0,-104.76586155788256,"{0: 12, 1: 0, 2: 4, 3: 4, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9841194418156399}",20,0,-98.32672199419682,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9831353223738244}",35,0,-218.67530334443148,"{0: 20, 1: 4, 2: 6, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9821521870514505}",20,0,-124.55843863476721,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.981170034864399}",25,0,-61.48613718157747,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9801888648295347}",20,4,-64.16462637350496,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.9792086759647052}",25,0,-160.48116753079793,"{0: 10, 1: 3, 2: 10, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9782294672887404}",25,0,-96.50165430094468,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9772512378214517}",30,0,-155.71782328317565,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9762739865836302}",25,0,-182.92118123910913,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9752977125970466}",30,20,5.715925069361391,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.9743224148844496}",30,0,-207.12478407145574,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9733480924695651}",25,0,-116.10188097975076,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9723747443770956}",25,0,-141.23876456873853,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9714023696327184}",20,0,-125.28112071856668,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9704309672630858}",30,0,-74.45979983171578,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9694605362958226}",20,0,-133.3234552900101,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9684910757595268}",25,0,-149.2026300896317,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.9675225846837673}",20,0,-159.88475198602882,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9665550620990835}",20,0,-57.544065899472486,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9655885070369844}",25,0,-137.44631944893726,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9646229185299474}",20,0,-185.67950066441415,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.9636582956114175}",20,0,-96.50180207519158,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9626946373158061}",25,0,-126.45127861643596,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9617319426784903}",30,0,-227.07275316240296,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.9607702107358118}",20,0,-67.68141642738209,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.959809440525076}",20,0,-144.29294818828438,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9588496310845509}",25,0,-125.10915692639983,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9578907814534663}",25,1,-99.71848717855849,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.9569328906720129}",25,0,-13.267945961662942,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9559759577813408}",20,0,-36.72514324336402,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9550199818235595}",20,0,-138.89398102726818,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.954064961841736}",20,0,-28.28901940464463,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9531108968798943}",25,0,-120.96116209634432,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9521577859830144}",20,0,-78.65792867555534,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9512056281970314}",20,0,-125.18814648245086,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9502544225688343}",20,1,-38.65741564733996,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.9493041681462654}",30,0,-256.04398885420545,"{0: 13, 1: 7, 2: 5, 3: 1, 4: 4}",0
53,False,"{'a': 0.5, 'e': 0.9483548639781192}",30,0,-235.08190905414017,"{0: 14, 1: 3, 2: 7, 3: 4, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.947406509114141}",20,0,-153.37950179637917,"{0: 11, 1: 5, 2: 0, 3: 1, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.9464591026050269}",20,11,-40.46615341008786,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.9455126435024219}",25,0,-71.04295206877819,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9445671308589194}",20,0,-79.27061979408249,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9436225637280605}",30,9,-52.417643006211726,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.9426789411643325}",25,0,-171.35559853555208,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.9417362622231682}",25,0,-123.8785675653299,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9407945259609449}",25,0,-112.90346104681161,"{0: 13, 1: 8, 2: 1, 3: 2, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9398537314349841}",30,0,-114.91416354837983,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9389138777035491}",20,0,-57.15583379299185,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9379749638258454}",25,10,-42.49324935847102,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.9370369888620197}",20,0,-114.92593808440184,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9360999518731576}",25,0,-145.398674925215,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.9351638519212845}",25,12,-37.00956621958498,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.9342286880693632}",20,0,-128.27028221237958,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9332944593812939}",30,0,-185.27688781522752,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.9323611649219126}",20,0,-42.88743766488042,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9314288037569907}",20,0,-42.09971453050659,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9304973749532336}",30,0,-109.50320924834955,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9295668775782804}",25,0,-131.6964830931397,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9286373107007021}",20,0,-41.13342339031076,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9277086733900014}",30,0,-162.1922723071393,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9267809647166114}",25,0,-175.63235068518884,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9258541837518948}",30,20,-90.0868907156169,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.9249283295681429}",25,0,-140.25329153565332,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.9240034012385747}",25,0,-106.76923022916932,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
