trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.92089601608697,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.5448750028113,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.7491831744296,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.00589012142746,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,21,-147.53897758208188,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 4}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.83870522529784,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.85808242608454,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.47086068486252,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.74990603986456,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.37276774795865,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.22684538806806,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.70127017292376,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.40261866118394,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.46881431680646,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.66985751696713,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-186.56603859351998,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.97179324044696,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,12,-80.20132976587443,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,5,-72.55471307115725,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.27704059666286,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.12500260856017,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.89211619860905,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.30045368052072,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.99286499098819,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.2567633547564,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.7716113263847,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-42.25410107482483,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.04818257637382,"{0: 17, 1: 6, 2: 2, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-161.4536423897853,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.63795035831154,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
